Gene Name,Upregulated,Downregulated,Max
MTCH2,0.5465438365936279,0.5513730049133301,0.5513730049133301
ASAH1,0.5513704419136047,0.5410547256469727,0.5513704419136047
PWP1,0.5410547256469727,0.5513588786125183,0.5513588786125183
PACSIN2,0.5513567328453064,0.5436245799064636,0.5513567328453064
WIPF2,0.5513548254966736,0.5409139394760132,0.5513548254966736
ENTPD6,0.5410547256469727,0.5513509511947632,0.5513509511947632
DUS1L,0.5513496398925781,0.5443779826164246,0.5513496398925781
BCL7B,0.5484650135040283,0.5513474345207214,0.5513474345207214
BRD3,0.5430266857147217,0.5513427257537842,0.5513427257537842
STK39,0.5410547256469727,0.5513350367546082,0.5513350367546082
CNBP,0.5410547256469727,0.551307737827301,0.551307737827301
CSNK1A1,0.5513076782226562,0.5410547256469727,0.5513076782226562
RPL38,0.5512797236442566,0.5413666367530823,0.5512797236442566
TRAP1,0.5415986180305481,0.5512602925300598,0.5512602925300598
SLC35D2,0.5385972261428833,0.5512570142745972,0.5512570142745972
TERF1,0.5512468218803406,0.5492919683456421,0.5512468218803406
PHB2,0.5512455105781555,0.5499244332313538,0.5512455105781555
GPATCH8,0.5410547256469727,0.5512427091598511,0.5512427091598511
LEF1,0.5512415766716003,0.5355011820793152,0.5512415766716003
TCF7,0.5423390865325928,0.5512357354164124,0.5512357354164124
KPNA1,0.5426545143127441,0.5512341856956482,0.5512341856956482
UPF1,0.5409959554672241,0.551233172416687,0.551233172416687
SREK1,0.5512320399284363,0.5484973788261414,0.5512320399284363
UAP1,0.5333627462387085,0.5512295365333557,0.5512295365333557
CRYL1,0.5422151684761047,0.5512217283248901,0.5512217283248901
B2M,0.544891357421875,0.5512164831161499,0.5512164831161499
EHMT1,0.5421953201293945,0.5512161254882812,0.5512161254882812
TXNL1,0.5437471270561218,0.5512143969535828,0.5512143969535828
GSS,0.5512107014656067,0.5412256121635437,0.5512107014656067
DYRK1A,0.5484434366226196,0.5512105226516724,0.5512105226516724
SEC61A1,0.5410547256469727,0.5511960387229919,0.5511960387229919
RAD17,0.5410547256469727,0.5511925220489502,0.5511925220489502
UBTF,0.5410547256469727,0.55118328332901,0.55118328332901
ZER1,0.5511811375617981,0.5483262538909912,0.5511811375617981
SNX15,0.5447199940681458,0.5511655807495117,0.5511655807495117
BSDC1,0.5511548519134521,0.5415767431259155,0.5511548519134521
DDX39A,0.5446439385414124,0.5511413812637329,0.5511413812637329
MAP3K11,0.5410547256469727,0.5511329174041748,0.5511329174041748
BPGM,0.5457607507705688,0.5511317849159241,0.5511317849159241
TAPT1,0.5482755899429321,0.5511298179626465,0.5511298179626465
PSMB8,0.5211480855941772,0.5511283278465271,0.5511283278465271
DDX18,0.541664183139801,0.5511204600334167,0.5511204600334167
KIAA0100,0.5510925650596619,0.5410547256469727,0.5510925650596619
ARHGAP19,0.5410547256469727,0.5510912537574768,0.5510912537574768
PIN4,0.5510678887367249,0.5416247844696045,0.5510678887367249
NRAS,0.5510538816452026,0.5410547256469727,0.5510538816452026
YWHAZ,0.5510512590408325,0.5410547256469727,0.5510512590408325
XRCC6,0.5510459542274475,0.5410547256469727,0.5510459542274475
DPY30,0.5410547256469727,0.5510446429252625,0.5510446429252625
FAM131A,0.5510402321815491,0.5463020205497742,0.5510402321815491
ORAI3,0.5510379672050476,0.5410547256469727,0.5510379672050476
PMS2,0.5491375923156738,0.5510363578796387,0.5510363578796387
CAPRIN1,0.5461496114730835,0.5510353446006775,0.5510353446006775
CCNL2,0.5410547256469727,0.5510350465774536,0.5510350465774536
DGKD,0.5459980368614197,0.5510168671607971,0.5510168671607971
RPL3,0.5416247844696045,0.5510115623474121,0.5510115623474121
NISCH,0.5463863015174866,0.5510112643241882,0.5510112643241882
SEMA4D,0.5438418984413147,0.5510110259056091,0.5510110259056091
RPS13,0.5510104894638062,0.5401982665061951,0.5510104894638062
PLEKHO2,0.5510103702545166,0.5447724461555481,0.5510103702545166
ZNF529,0.551007866859436,0.5410547256469727,0.551007866859436
SLC46A3,0.5509992241859436,0.5452933311462402,0.5509992241859436
UBE2B,0.5509946942329407,0.5410547256469727,0.5509946942329407
GMPS,0.5410547256469727,0.550986647605896,0.550986647605896
CREBL2,0.5420407652854919,0.550984263420105,0.550984263420105
ERCC3,0.5509839057922363,0.5473815202713013,0.5509839057922363
PPM1B,0.5509734153747559,0.5410547256469727,0.5509734153747559
FNDC3A,0.5451204776763916,0.5509722828865051,0.5509722828865051
SRGAP2,0.5474469661712646,0.5509605407714844,0.5509605407714844
APOBEC3F,0.5064640641212463,0.5509577989578247,0.5509577989578247
NDUFV2,0.5509548783302307,0.544218122959137,0.5509548783302307
CLIP1,0.5411400198936462,0.5509473085403442,0.5509473085403442
DCUN1D1,0.5410547256469727,0.5509418249130249,0.5509418249130249
ZNF562,0.5509335398674011,0.5195600390434265,0.5509335398674011
WASHC2C,0.5433995127677917,0.5509231090545654,0.5509231090545654
AKAP17A,0.533417820930481,0.5509227514266968,0.5509227514266968
ANXA6,0.5509058237075806,0.5410547256469727,0.5509058237075806
PLXNB2,0.5509045124053955,0.5410547256469727,0.5509045124053955
RPS5,0.5508972406387329,0.546478807926178,0.5508972406387329
TMCC2,0.5508946180343628,0.5410547256469727,0.5508946180343628
PCBP2,0.5443808436393738,0.5508836507797241,0.5508836507797241
EIF3J,0.5508798956871033,0.5410547256469727,0.5508798956871033
CLUAP1,0.5508633852005005,0.5410547256469727,0.5508633852005005
NOP14,0.5410547256469727,0.5508560538291931,0.5508560538291931
HINT1,0.5508521795272827,0.5490374565124512,0.5508521795272827
PHF2,0.5410547256469727,0.5508471727371216,0.5508471727371216
COTL1,0.5410547256469727,0.5508306622505188,0.5508306622505188
PFKFB3,0.5446250438690186,0.5508202910423279,0.5508202910423279
UBA52,0.5508126616477966,0.497631698846817,0.5508126616477966
POU2F1,0.5508110523223877,0.5410547256469727,0.5508110523223877
FKBP15,0.5422170758247375,0.5508055090904236,0.5508055090904236
GOLPH3L,0.5507960915565491,0.5410547256469727,0.5507960915565491
UBB,0.5507846474647522,0.5463367104530334,0.5507846474647522
RBMX,0.542934775352478,0.550774335861206,0.550774335861206
POFUT2,0.5421108603477478,0.5507724285125732,0.5507724285125732
PXN,0.5423420667648315,0.5507622361183167,0.5507622361183167
NIT1,0.5507460236549377,0.5421563386917114,0.5507460236549377
SIAH1,0.5488067865371704,0.5507438778877258,0.5507438778877258
PRRC2A,0.5410547256469727,0.5507426261901855,0.5507426261901855
FAF1,0.5507403016090393,0.541060745716095,0.5507403016090393
TIMM8B,0.550728440284729,0.5430819392204285,0.550728440284729
STAG1,0.5507208704948425,0.5418102741241455,0.5507208704948425
ASCC2,0.5455029010772705,0.5507158637046814,0.5507158637046814
CAMK1D,0.5507112741470337,0.5433101058006287,0.5507112741470337
CKLF,0.5489159226417542,0.5507049560546875,0.5507049560546875
C8orf33,0.5485851764678955,0.5507044196128845,0.5507044196128845
PCSK7,0.5506986975669861,0.5480546951293945,0.5506986975669861
GSE1,0.5270595550537109,0.5506956577301025,0.5506956577301025
CEPT1,0.5453118085861206,0.5506857633590698,0.5506857633590698
FAS,0.5506830811500549,0.5411942005157471,0.5506830811500549
RFX2,0.5446264147758484,0.5506827235221863,0.5506827235221863
GAPVD1,0.5426072478294373,0.550670325756073,0.550670325756073
POLRMT,0.550667941570282,0.5421212315559387,0.550667941570282
R3HDM2,0.5506603121757507,0.5410547256469727,0.5506603121757507
SLC43A3,0.5506595969200134,0.5410547256469727,0.5506595969200134
SDHAF1,0.5410547256469727,0.5506591200828552,0.5506591200828552
HIGD1A,0.5410547256469727,0.5506589412689209,0.5506589412689209
PSAP,0.5506346821784973,0.5415684580802917,0.5506346821784973
TM9SF2,0.549894392490387,0.5506330728530884,0.5506330728530884
IP6K2,0.5410547256469727,0.5506289601325989,0.5506289601325989
METTL17,0.5425199866294861,0.5506265759468079,0.5506265759468079
NDUFA13,0.5506212115287781,0.5410547256469727,0.5506212115287781
POLD3,0.5506200790405273,0.5410547256469727,0.5506200790405273
TMEM258,0.5506148934364319,0.5436484813690186,0.5506148934364319
TK2,0.5412151217460632,0.5505845546722412,0.5505845546722412
CEP63,0.550583004951477,0.5498257279396057,0.550583004951477
